port_name,measure,mes_label,tot_value,mes,value,delta
Port Angeles,Trucks,Jan 2026,1,2026-01,0,1
Morgan,Truck Containers Empty,Feb 2026,1,2026-02,0,1
Hannah,Truck Containers Empty,Feb 2026,1,2026-02,0,1
Ferry,Truck Containers Empty,Jan 2026,1,2026-01,0,1
Opheim,Trucks,Feb 2026,1,2026-02,0,1
Opheim,Truck Containers Empty,Feb 2026,1,2026-02,0,1
Nogales,Truck Containers Empty,Jan 2026,8122,2026-01,8123,-1
Whitlash,Trucks,Jan 2026,0,2026-01,0,0
Pinecreek,Truck Containers Empty,Jan 2026,0,2026-01,0,0
Port Angeles,Truck Containers Empty,Jan 2026,0,2026-01,0,0
Whitlash,Truck Containers Empty,Jan 2026,0,2026-01,0,0
Hannah,Truck Containers Empty,Jan 2026,0,2026-01,0,0
